ticker,score_type,holding,n,rho,p,spread,verdict,class,class_mean_rho,n_bars,start,end,top_ret,top_dd,top_n,bottom_ret,bottom_dd,bottom_n
ABT,SC,1,10960,0.0054,0.570788,0.0134,neutral,neutral,-0.0025,11667,1980-03-18,2026-07-02,0.0694,-1.0286,6016.0,0.056,-1.0287,4944.0
ABT,SC,5,10956,0.0152,0.110718,0.1292,neutral,neutral,-0.0025,11667,1980-03-18,2026-07-02,0.3669,-2.4303,6013.0,0.2377,-2.4841,4943.0
ABT,SC,10,10951,-0.0154,0.107817,-0.0879,neutral,neutral,-0.0025,11667,1980-03-18,2026-07-02,0.561,-3.3987,6009.0,0.6489,-3.4455,4942.0
ABT,SC,15,10946,0.0006,0.948976,0.0596,neutral,neutral,-0.0025,11667,1980-03-18,2026-07-02,0.9192,-4.0593,6006.0,0.8596,-4.1503,4940.0
ABT,SC,20,10941,-0.0102,0.286629,-0.0833,neutral,neutral,-0.0025,11667,1980-03-18,2026-07-02,1.1463,-4.6165,6005.0,1.2296,-4.6974,4936.0
ABT,TS,1,11626,-0.0315,0.000671,-0.0989,invers,fade,-0.0733,11667,1980-03-18,2026-07-02,0.0205,-0.9647,4828.0,0.1194,-1.0935,4235.0
ABT,TS,5,11622,-0.0638,0.0,-0.4486,invers,fade,-0.0733,11667,1980-03-18,2026-07-02,0.0783,-2.3093,4828.0,0.5269,-2.6677,4233.0
ABT,TS,10,11617,-0.067,0.0,-0.6878,invers,fade,-0.0733,11667,1980-03-18,2026-07-02,0.2937,-3.2377,4828.0,0.9815,-3.6875,4228.0
ABT,TS,15,11612,-0.073,0.0,-0.9586,invers,fade,-0.0733,11667,1980-03-18,2026-07-02,0.4759,-3.913,4828.0,1.4345,-4.4013,4223.0
ABT,TS,20,11607,-0.0895,0.0,-1.3103,invers,fade,-0.0733,11667,1980-03-18,2026-07-02,0.5981,-4.4839,4828.0,1.9084,-4.9429,4219.0
ABT,GESAMT,1,10960,-0.0189,0.047892,-0.0447,neutral,neutral,-0.0495,11667,1980-03-18,2026-07-02,0.0529,-0.9412,2811.0,0.0976,-1.0995,3894.0
ABT,GESAMT,5,10956,-0.0377,8e-05,-0.3084,invers,neutral,-0.0495,11667,1980-03-18,2026-07-02,0.1411,-2.238,2811.0,0.4495,-2.62,3894.0
ABT,GESAMT,10,10951,-0.052,0.0,-0.4901,invers,neutral,-0.0495,11667,1980-03-18,2026-07-02,0.358,-3.1204,2811.0,0.8481,-3.6454,3892.0
ABT,GESAMT,15,10946,-0.0464,1e-06,-0.5811,invers,neutral,-0.0495,11667,1980-03-18,2026-07-02,0.5891,-3.7609,2811.0,1.1702,-4.3734,3888.0
ABT,GESAMT,20,10941,-0.062,0.0,-0.8864,invers,neutral,-0.0495,11667,1980-03-18,2026-07-02,0.7105,-4.3213,2811.0,1.5969,-4.9238,3884.0
ACN,SC,1,5659,0.0345,0.009414,0.1319,funktioniert,neutral,-0.0029,6274,2001-07-20,2026-07-02,0.1374,-0.9576,2451.0,0.0055,-1.0771,1701.0
ACN,SC,5,5655,-0.0034,0.798796,-0.0677,neutral,neutral,-0.0029,6274,2001-07-20,2026-07-02,0.218,-2.4832,2447.0,0.2857,-2.5397,1701.0
ACN,SC,10,5650,-0.0005,0.970949,-0.0487,neutral,neutral,-0.0029,6274,2001-07-20,2026-07-02,0.4911,-3.5746,2444.0,0.5398,-3.6166,1701.0
ACN,SC,15,5645,-0.0072,0.58635,-0.2508,neutral,neutral,-0.0029,6274,2001-07-20,2026-07-02,0.7217,-4.3036,2441.0,0.9725,-4.4168,1700.0
ACN,SC,20,5640,-0.0007,0.956725,-0.09,neutral,neutral,-0.0029,6274,2001-07-20,2026-07-02,0.979,-5.0063,2441.0,1.069,-4.9357,1696.0
ACN,TS,1,6233,-0.0097,0.442182,-0.0508,neutral,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.0331,-0.9297,2640.0,0.0839,-1.515,1269.0
